Date,^GSPC,^DJI,^GSPTSE,QQQM,SFY,VDY.TO,XHU.TO,CADUSD=X,CAD=X
2008-07-22,1277.0,11602.5,13643.2001953125,,,,,0.9925557971000671,1.0075000524520874
2008-07-23,1282.18994140625,11632.3798828125,13512.7001953125,,,,,0.989315390586853,1.0108000040054321
2008-07-24,1252.5400390625,11349.2802734375,13206.099609375,,,,,0.9859988689422607,1.01419997215271
2008-07-25,1257.760009765625,11370.6904296875,13378.7998046875,,,,,0.9820288419723511,1.0183000564575195
2008-07-28,1234.3699951171875,11131.080078125,13304.0,,,,,0.9786650538444519,1.0218000411987305
2008-07-29,1263.199951171875,11397.5595703125,13342.599609375,,,,,0.9769441485404968,1.0235999822616577
2008-07-30,1284.260009765625,11583.6904296875,13683.2001953125,,,,,0.9775171279907227,1.0230000019073486
2008-07-31,1267.3800048828125,11378.01953125,13592.900390625,,,,,0.977325975894928,1.0232000350952148
2008-08-01,1260.31005859375,11326.3203125,13496.5,,,,,0.9759905934333801,1.0246000289916992
2008-08-04,1249.010009765625,11284.150390625,,,,,,0.9648784399032593,1.0363999605178833
2008-08-05,1284.8800048828125,11615.76953125,13242.2001953125,,,,,0.9591405987739563,1.0426000356674194
2008-08-06,1289.18994140625,11656.0703125,13453.5,,,,,0.9546539187431335,1.0475000143051147
2008-08-07,1266.0699462890625,11431.4296875,13385.2001953125,,,,,0.950570285320282,1.0520000457763672
2008-08-08,1296.3199462890625,11734.3203125,13341.7001953125,,,,,0.9369437098503113,1.0672999620437622
2008-08-11,1305.3199462890625,11782.349609375,13203.2001953125,,,,,0.9355412125587463,1.0688999891281128
2008-08-12,1289.5899658203125,11642.4697265625,13167.0,,,,,0.9377343654632568,1.0664000511169434
2008-08-13,1285.8299560546875,11532.9599609375,13377.2001953125,,,,,0.9414423108100891,1.0621999502182007
2008-08-14,1292.9300537109375,11615.9296875,13358.900390625,,,,,0.9386146068572998,1.0654000043869019
2008-08-15,1298.199951171875,11659.900390625,13096.7001953125,,,,,0.9429514408111572,1.0605000257492065
2008-08-18,1278.5999755859375,11479.3896484375,13119.400390625,,,,,0.9396729469299316,1.0642000436782837
2008-08-19,1266.68994140625,11348.5498046875,13063.900390625,,,,,0.9432182908058167,1.0601999759674072
2008-08-20,1274.5400390625,11417.4296875,13350.099609375,,,,,0.9438414573669434,1.059499979019165
2008-08-21,1277.719970703125,11430.2099609375,13539.2001953125,,,,,0.9575792551040649,1.0442999601364136
2008-08-22,1292.199951171875,11628.0595703125,13447.2998046875,,,,,0.9566631317138672,1.045300006866455
2008-08-25,1266.8399658203125,11386.25,13289.0,,,,,0.9514747858047485,1.0509999990463257
2008-08-26,1271.510009765625,11412.8701171875,13299.099609375,,,,,0.9542895555496216,1.0478999614715576
2008-08-27,1281.6600341796875,11502.509765625,13530.7001953125,,,,,0.9553835988044739,1.0467000007629395
2008-08-28,1300.6800537109375,11715.1796875,13750.5,,,,,0.951655924320221,1.0507999658584595
2008-08-29,1282.8299560546875,11543.9599609375,13771.2998046875,,,,,0.9365049004554749,1.0678000450134277
2008-09-02,1277.5799560546875,11516.919921875,13299.5,,,,,0.9367681741714478,1.0674999952316284
2008-09-03,1274.97998046875,11532.8798828125,13137.7001953125,,,,,0.9416195750236511,1.062000036239624
2008-09-04,1236.8299560546875,11188.23046875,12814.099609375,,,,,0.9351038336753845,1.0693999528884888
2008-09-05,1242.31005859375,11220.9599609375,12816.400390625,,,,,0.9401147365570068,1.0636999607086182
2008-09-08,1267.7900390625,11510.740234375,12634.599609375,,,,,0.9388790130615234,1.0650999546051025
2008-09-09,1224.510009765625,11230.73046875,12146.7998046875,,,,,0.9347541332244873,1.0698000192642212
2008-09-10,1232.0400390625,11268.919921875,12497.2001953125,,,,,0.9322270750999451,1.072700023651123
2008-09-11,1249.050048828125,11433.7099609375,12612.7998046875,,,,,0.9304056167602539,1.0748000144958496
2008-09-12,1251.699951171875,11421.990234375,12769.599609375,,,,,0.9430403709411621,1.0604000091552734
2008-09-15,1192.699951171875,10917.509765625,12254.0,,,,,0.936154305934906,1.0681999921798706
2008-09-16,1213.5999755859375,11059.01953125,12227.0,,,,,0.9342302083969116,1.0703999996185303
2008-09-17,1156.3900146484375,10609.66015625,11877.7001953125,,,,,0.9347541332244873,1.0698000192642212
2008-09-18,1206.510009765625,11019.6904296875,12064.599609375,,,,,0.9422405958175659,1.0613000392913818
2008-09-19,1255.0799560546875,11388.4404296875,12913.0,,,,,0.9561143517494202,1.0458999872207642
2008-09-22,1207.0899658203125,11015.6904296875,12638.099609375,,,,,0.9667440056800842,1.0343999862670898
2008-09-23,1188.219970703125,10854.169921875,12532.599609375,,,,,0.9659969210624695,1.0351999998092651
2008-09-24,1185.8699951171875,10825.169921875,12513.400390625,,,,,0.9632983207702637,1.038100004196167
2008-09-25,1209.1800537109375,11022.0595703125,12546.5,,,,,0.9681479334831238,1.0328999757766724
2008-09-26,1213.27001953125,11143.1298828125,12126.0,,,,,0.9666505455970764,1.034500002861023
2008-09-29,1106.4200439453125,10365.4501953125,11285.099609375,,,,,0.9542895555496216,1.0478999614715576
2008-09-30,1166.3599853515625,10850.66015625,11752.900390625,,,,,0.9404683709144592,1.0633000135421753
2008-10-01,1161.06005859375,10831.0703125,11714.5,,,,,0.9405568242073059,1.0631999969482422
2008-10-02,1114.280029296875,10482.849609375,10900.5,,,,,0.9269559383392334,1.0787999629974365
2008-10-03,1099.22998046875,10325.3798828125,10803.400390625,,,,,0.9275577664375305,1.0780999660491943
2008-10-06,1056.8900146484375,9955.5,10230.400390625,,,,,0.9085953235626221,1.100600004196167
2008-10-07,996.22998046875,9447.1103515625,9829.599609375,,,,,0.9053869843482971,1.1045000553131104
2008-10-08,984.9400024414062,9258.099609375,10056.2998046875,,,,,0.8876264691352844,1.1266000270843506
2008-10-09,909.9199829101562,8579.1904296875,9600.2001953125,,,,,0.8712319731712341,1.1477999687194824
2008-10-10,899.219970703125,8451.1904296875,9065.2001953125,,,,,0.8498342633247375,1.1766999959945679
2008-10-13,1003.3499755859375,9387.6103515625,,,,,,0.8729050755500793,1.1455999612808228
2008-10-14,998.010009765625,9310.990234375,9955.7001953125,,,,,0.8600670695304871,1.1627000570297241
2008-10-15,907.8400268554688,8577.91015625,9323.900390625,,,,,0.8389261364936829,1.1920000314712524
2008-10-16,946.4299926757812,8979.259765625,9270.0,,,,,0.8473140001296997,1.1801999807357788
2008-10-17,940.5499877929688,8852.2197265625,9562.5,,,,,0.8462384939193726,1.1816999912261963
2008-10-20,985.4000244140625,9265.4296875,10251.400390625,,,,,0.8376612663269043,1.1937999725341797
2008-10-21,955.0499877929688,9033.66015625,9795.7998046875,,,,,0.825218677520752,1.2117999792099
2008-10-22,896.780029296875,8519.2099609375,9236.900390625,,,,,0.7960516214370728,1.2561999559402466
2008-10-23,908.1099853515625,8691.25,9331.400390625,,,,,0.8019246459007263,1.246999979019165
2008-10-24,876.77001953125,8378.9501953125,9294.099609375,,,,,0.786101758480072,1.2720999717712402
2008-10-27,848.9199829101562,8175.77001953125,8537.2998046875,,,,,0.7711288928985596,1.2968000173568726
2008-10-28,940.510009765625,9065.1201171875,9151.599609375,,,,,0.7885191440582275,1.2682000398635864
2008-10-29,930.0900268554688,8990.9599609375,9501.599609375,,,,,0.8181966543197632,1.2222000360488892
2008-10-30,954.0900268554688,9180.6904296875,9856.2001953125,,,,,0.8302890062332153,1.2043999433517456
2008-10-31,968.75,9325.009765625,9762.7998046875,,,,,0.8297378420829773,1.205199956893921
2008-11-03,966.2999877929688,9319.830078125,9721.2998046875,,,,,0.8473140001296997,1.1801999807357788
2008-11-04,1005.75,9625.2802734375,10116.599609375,,,,,0.8677542209625244,1.152400016784668
2008-11-05,952.77001953125,9139.26953125,9887.2001953125,,,,,0.8562377095222473,1.1678999662399292
2008-11-06,904.8800048828125,8695.7900390625,9555.400390625,,,,,0.8352823853492737,1.1971999406814575
2008-11-07,930.989990234375,8943.8095703125,9596.2001953125,,,,,0.845522940158844,1.1827000379562378
2008-11-10,919.2100219726562,8870.5400390625,9688.7998046875,,,,,0.8378015756607056,1.193600058555603
2008-11-11,898.9500122070312,8693.9599609375,9424.0,,,,,0.8278145790100098,1.2079999446868896
2008-11-12,852.2999877929688,8282.66015625,8922.599609375,,,,,0.8080155253410339,1.2375999689102173
2008-11-13,911.2899780273438,8835.25,9352.7998046875,,,,,0.8249463438987732,1.2122000455856323
2008-11-14,873.2899780273438,8497.3095703125,9056.0,,,,,0.809585452079773,1.235200047492981
2008-11-17,850.75,8273.580078125,8795.5,,,,,0.8143985271453857,1.2279000282287598
2008-11-18,859.1199951171875,8424.75,8835.7001953125,,,,,0.8122817277908325,1.2310999631881714
2008-11-19,806.5800170898438,7997.27978515625,8490.599609375,,,,,0.7982119917869568,1.2527999877929688
2008-11-20,752.4400024414062,7552.2900390625,7724.7998046875,,,,,0.7726781368255615,1.2941999435424805
